    mon; mohon
    bnyakin; banyakin
    ngitung; menghitung
    podcast2; podcast podcast
    podcast; podcast podcast
    podcastpodcast; podcast podcast
    kureng; kurang
    tv2; televisi televisi
    tv; televisi televisi
    tyngin; tayangkan
    tayangin; tayangkan tayangkan
    joget2; joget joget
    joget; joget joget
    bgnian; begini
    abiez; habis
    abiezt; habis
    abies; habis
    abiezzz; habis
    tumbnail; thumbnail
    sihbh; sih
    bangaa; bangga
    nggak; tidak
    enggak; tidak
    oret2; coret coret
    oret2an; coret coret
    oret; coret coret
    oretan; coret coret
    semngatt; semangat
    bibit2; bibit bibit
    bibit; bibit bibit
    aslie; asli
    apk; aplikasi
    plz; tolong
    plzzz; tolong
    trending2; trending trending
    trending; trending trending
    seruwww; seru
    epsd; episode
    ternyat; ternyata
    gtg; ganteng
    gasskenn; gaskan
    gaskeun; gaskan
    nyoba2; mencoba mencoba
    nyoba; mencoba mencoba
    bggt; banget
    bgtt; banget
    bggtt; banget
    bgttttt; banget
    ky; kayak
    heng; hang
    ktinggln; ketinggalan
    dijdikn; dijadikan
    champions2; champions champions
    champions; champions champions
    nyelesaiin; menyelesaikan
    nebak; tebak
    nntk; nanti
    selese; selesai
    mrinding; merinding
    gilaaakkk; gila
    pusink; pusing
    skip2; skip skip
    orng; orang
    orng2; orang orang
    gregetny; gregetnya
    nagka; angka
    dramadraman; drama drama
    drama2; drama drama
    dikazih; dikasih
    sabra; sabar
    kerenkeren; keren keren
    mrosesnya; memprosesnya
    sumph; sumpah
    nentu; menentu
    degdegan; deg degan
    semanagt; semangat
    cempions; champions
    clas; clash
    pls; tolong
    ga; tidak
    gaaaa; tidak
    lamain; lamakan
    pintr2; pintar pintar
    champion; champions
    gury; guru
    kakak2nya; kakak kakaknya
    bgtttttt; banget
    mahasiswa2; mahasiswa mahasiswa
    terpintee; terpintar
    habizzz; habis
    gilaaaaakk; gila
    gilaaakkkkkk; gila
    acara2; acara
    tema2; tema tema
    karisma; kharisma
    nantix; nantinya
    takoet; takut
    cuplikan2; cuplikan cuplikan
    pwoll; pol
    kegini; kayak begini
    ginii; begini
    mwerinding; merinding
    plizzzzz; tolong
    beut; banget
    beutt; banget
    bngt2; banget banget
    hebat2; hebat hebat
    jujunggg; jujur
    sukakkkk; suka
    acarany; acaranya
    prestasi2; prestasi prestasi
    editorny; editornya
    soalny; soalnya
    cpetin; cepatkan
    koo; kok
    anrh; aneh
    trrnding; trending
    orgtua; orang tua
    naro; menaruh
    ngafal2; menghafal menghafal
    ep; episode
    eps; episode
